,series_code,indicator_name
1050,SH.UHC.NOP1.ZS,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)
1051,SH.UHC.NOP2.CG,Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)
1052,SH.UHC.NOP2.TO,Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1053,SH.UHC.NOP2.ZG,Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)
1054,SH.UHC.NOP2.ZS,Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)
1055,SH.UHC.OOPC.10.TO,Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure
1056,SH.UHC.OOPC.10.ZS,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%)
1057,SH.UHC.OOPC.25.TO,Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure
1058,SH.UHC.OOPC.25.ZS,Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%)
1059,SH.UHC.SRVS.CV.XD,UHC service coverage index
1060,SH.VAC.TTNS.ZS,Newborns protected against tetanus (%)
1061,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP)
1062,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$)
1063,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)"
1064,SH.XPD.EHEX.CH.ZS,External health expenditure (% of current health expenditure)
1065,SH.XPD.EHEX.PC.CD,External health expenditure per capita (current US$)
1066,SH.XPD.EHEX.PP.CD,"External health expenditure per capita, PPP (current international $)"
1067,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure)
1068,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP)
1069,SH.XPD.GHED.GE.ZS,Domestic general government health expenditure (% of general government expenditure)
1070,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$)
1071,SH.XPD.GHED.PP.CD,"Domestic general government health expenditure per capita, PPP (current international $)"
1072,SH.XPD.OOPC.CH.ZS,Out-of-pocket expenditure (% of current health expenditure)
1073,SH.XPD.OOPC.PC.CD,Out-of-pocket expenditure per capita (current US$)
1074,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)"
1075,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure)
1076,SH.XPD.PVTD.PC.CD,Domestic private health expenditure per capita (current US$)
1077,SH.XPD.PVTD.PP.CD,"Domestic private health expenditure per capita, PPP (current international $)"
1078,SI.DST.02ND.20,Income share held by second 20%
1079,SI.DST.03RD.20,Income share held by third 20%
1080,SI.DST.04TH.20,Income share held by fourth 20%
1081,SI.DST.05TH.20,Income share held by highest 20%
1082,SI.DST.10TH.10,Income share held by highest 10%
1083,SI.DST.50MD,Proportion of people living below 50 percent of median income (%)
1084,SI.DST.FRST.10,Income share held by lowest 10%
1085,SI.DST.FRST.20,Income share held by lowest 20%
1086,SI.POV.DDAY,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population)
1087,SI.POV.GAPS,Poverty gap at $2.15 a day (2017 PPP) (%)
1088,SI.POV.GINI,Gini index
1089,SI.POV.LMIC,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)
1090,SI.POV.LMIC.GP,Poverty gap at $3.65 a day (2017 PPP) (%)
1091,SI.POV.MDIM,Multidimensional poverty headcount ratio (% of total population)
1092,SI.POV.MDIM.17,"Multidimensional poverty headcount ratio, children (% of child population)"
1093,SI.POV.MDIM.17.XQ,"Multidimensional poverty index, children (scale 0-1)"
1094,SI.POV.MDIM.FE,"Multidimensional poverty headcount ratio, female (% of female population)"
1095,SI.POV.MDIM.HH,"Multidimensional poverty headcount ratio, household (% of total households)"
1096,SI.POV.MDIM.IT,Multidimensional poverty intensity
1097,SI.POV.MDIM.MA,"Multidimensional poverty headcount ratio, male (% of male population)"
1098,SI.POV.MDIM.XQ,Multidimensional poverty index (scale 0-1)
1099,SI.POV.NAHC,Poverty headcount ratio at national poverty lines (% of population)
1100,SI.POV.UMIC,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population)
1101,SI.POV.UMIC.GP,Poverty gap at $6.85 a day (2017 PPP) (%)
1102,SI.RMT.COST.IB.ZS,Average transaction cost of sending remittances to a specific country (%)
1103,SI.RMT.COST.OB.ZS,Average transaction cost of sending remittances from a specific country (%)
1104,SI.SPR.PC40,"Survey mean consumption or income per capita, bottom 40% of population (2017 PPP $ per day)"
1105,SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"
1106,SI.SPR.PCAP,"Survey mean consumption or income per capita, total population (2017 PPP $ per day)"
1107,SI.SPR.PCAP.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)"
1108,SL.AGR.0714.FE.ZS,"Child employment in agriculture, female (% of female economically active children ages 7-14)"
1109,SL.AGR.0714.MA.ZS,"Child employment in agriculture, male (% of male economically active children ages 7-14)"
1110,SL.AGR.0714.ZS,Child employment in agriculture (% of economically active children ages 7-14)
1111,SL.AGR.EMPL.FE.ZS,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"
1112,SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)"
1113,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment) (modeled ILO estimate)
1114,SL.EMP.1524.SP.FE.NE.ZS,"Employment to population ratio, ages 15-24, female (%) (national estimate)"
1115,SL.EMP.1524.SP.FE.ZS,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)"
1116,SL.EMP.1524.SP.MA.NE.ZS,"Employment to population ratio, ages 15-24, male (%) (national estimate)"
1117,SL.EMP.1524.SP.MA.ZS,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)"
1118,SL.EMP.1524.SP.NE.ZS,"Employment to population ratio, ages 15-24, total (%) (national estimate)"
1119,SL.EMP.1524.SP.ZS,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)"
1120,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)"
1121,SL.EMP.MPYR.MA.ZS,"Employers, male (% of male employment) (modeled ILO estimate)"
1122,SL.EMP.MPYR.ZS,"Employers, total (% of total employment) (modeled ILO estimate)"
1123,SL.EMP.SELF.FE.ZS,"Self-employed, female (% of female employment) (modeled ILO estimate)"
1124,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)"
1125,SL.EMP.SELF.ZS,"Self-employed, total (% of total employment) (modeled ILO estimate)"
1126,SL.EMP.SMGT.FE.ZS,Female share of employment in senior and middle management (%)
1127,SL.EMP.TOTL.SP.FE.NE.ZS,"Employment to population ratio, 15+, female (%) (national estimate)"
1128,SL.EMP.TOTL.SP.FE.ZS,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)"
1129,SL.EMP.TOTL.SP.MA.NE.ZS,"Employment to population ratio, 15+, male (%) (national estimate)"
1130,SL.EMP.TOTL.SP.MA.ZS,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)"
1131,SL.EMP.TOTL.SP.NE.ZS,"Employment to population ratio, 15+, total (%) (national estimate)"
1132,SL.EMP.TOTL.SP.ZS,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)"
1133,SL.EMP.VULN.FE.ZS,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)"
1134,SL.EMP.VULN.MA.ZS,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
1135,SL.EMP.VULN.ZS,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
1136,SL.EMP.WORK.FE.ZS,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)"
1137,SL.EMP.WORK.MA.ZS,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)"
1138,SL.EMP.WORK.ZS,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
1139,SL.FAM.0714.FE.ZS,"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)"
1140,SL.FAM.0714.MA.ZS,"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)"
1141,SL.FAM.0714.ZS,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)"
1142,SL.FAM.WORK.FE.ZS,"Contributing family workers, female (% of female employment) (modeled ILO estimate)"
1143,SL.FAM.WORK.MA.ZS,"Contributing family workers, male (% of male employment) (modeled ILO estimate)"
1144,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)"
1145,SL.GDP.PCAP.EM.KD,GDP per person employed (constant 2017 PPP $)
1146,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)"
1147,SL.IND.EMPL.MA.ZS,"Employment in industry, male (% of male employment) (modeled ILO estimate)"
1148,SL.IND.EMPL.ZS,Employment in industry (% of total employment) (modeled ILO estimate)
1149,SL.MNF.0714.FE.ZS,"Child employment in manufacturing, female (% of female economically active children ages 7-14)"
1150,SL.MNF.0714.MA.ZS,"Child employment in manufacturing, male (% of male economically active children ages 7-14)"
1151,SL.MNF.0714.ZS,Child employment in manufacturing (% of economically active children ages 7-14)
1152,SL.SLF.0714.FE.ZS,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)"
1153,SL.SLF.0714.MA.ZS,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)"
1154,SL.SLF.0714.ZS,"Children in employment, self-employed (% of children in employment, ages 7-14)"
1155,SL.SRV.0714.FE.ZS,"Child employment in services, female (% of female economically active children ages 7-14)"
1156,SL.SRV.0714.MA.ZS,"Child employment in services, male (% of male economically active children ages 7-14)"
1157,SL.SRV.0714.ZS,Child employment in services (% of economically active children ages 7-14)
1158,SL.SRV.EMPL.FE.ZS,"Employment in services, female (% of female employment) (modeled ILO estimate)"
1159,SL.SRV.EMPL.MA.ZS,"Employment in services, male (% of male employment) (modeled ILO estimate)"
1160,SL.SRV.EMPL.ZS,Employment in services (% of total employment) (modeled ILO estimate)
1161,SL.TLF.0714.FE.ZS,"Children in employment, female (% of female children ages 7-14)"
1162,SL.TLF.0714.MA.ZS,"Children in employment, male (% of male children ages 7-14)"
1163,SL.TLF.0714.SW.FE.TM,"Average working hours of children, study and work, female, ages 7-14 (hours per week)"
1164,SL.TLF.0714.SW.FE.ZS,"Children in employment, study and work, female (% of female children in employment, ages 7-14)"
1165,SL.TLF.0714.SW.MA.TM,"Average working hours of children, study and work, male, ages 7-14 (hours per week)"
1166,SL.TLF.0714.SW.MA.ZS,"Children in employment, study and work, male (% of male children in employment, ages 7-14)"
1167,SL.TLF.0714.SW.TM,"Average working hours of children, study and work, ages 7-14 (hours per week)"
1168,SL.TLF.0714.SW.ZS,"Children in employment, study and work (% of children in employment, ages 7-14)"
1169,SL.TLF.0714.WK.FE.TM,"Average working hours of children, working only, female, ages 7-14 (hours per week)"
1170,SL.TLF.0714.WK.FE.ZS,"Children in employment, work only, female (% of female children in employment, ages 7-14)"
1171,SL.TLF.0714.WK.MA.TM,"Average working hours of children, working only, male, ages 7-14 (hours per week)"
1172,SL.TLF.0714.WK.MA.ZS,"Children in employment, work only, male (% of male children in employment, ages 7-14)"
1173,SL.TLF.0714.WK.TM,"Average working hours of children, working only, ages 7-14 (hours per week)"
1174,SL.TLF.0714.WK.ZS,"Children in employment, work only (% of children in employment, ages 7-14)"
1175,SL.TLF.0714.ZS,"Children in employment, total (% of children ages 7-14)"
1176,SL.TLF.ACTI.1524.FE.NE.ZS,"Labor force participation rate for ages 15-24, female (%) (national estimate)"
1177,SL.TLF.ACTI.1524.FE.ZS,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)"
1178,SL.TLF.ACTI.1524.MA.NE.ZS,"Labor force participation rate for ages 15-24, male (%) (national estimate)"
1179,SL.TLF.ACTI.1524.MA.ZS,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)"
1180,SL.TLF.ACTI.1524.NE.ZS,"Labor force participation rate for ages 15-24, total (%) (national estimate)"
1181,SL.TLF.ACTI.1524.ZS,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)"
1182,SL.TLF.ACTI.FE.ZS,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)"
1183,SL.TLF.ACTI.MA.ZS,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)"
1184,SL.TLF.ACTI.ZS,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)"
1185,SL.TLF.ADVN.FE.ZS,"Labor force with advanced education, female (% of female working-age population with advanced education)"
1186,SL.TLF.ADVN.MA.ZS,"Labor force with advanced education, male (% of male working-age population with advanced education)"
1187,SL.TLF.ADVN.ZS,Labor force with advanced education (% of total working-age population with advanced education)
1188,SL.TLF.BASC.FE.ZS,"Labor force with basic education, female (% of female working-age population with basic education)"
1189,SL.TLF.BASC.MA.ZS,"Labor force with basic education, male (% of male working-age population with basic education)"
1190,SL.TLF.BASC.ZS,Labor force with basic education (% of total working-age population with basic education)
1191,SL.TLF.CACT.FE.NE.ZS,"Labor force participation rate, female (% of female population ages 15+) (national estimate)"
1192,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)"
1193,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate)
1194,SL.TLF.CACT.FM.ZS,Ratio of female to male labor force participation rate (%) (modeled ILO estimate)
1195,SL.TLF.CACT.MA.NE.ZS,"Labor force participation rate, male (% of male population ages 15+) (national estimate)"
1196,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)"
1197,SL.TLF.CACT.NE.ZS,"Labor force participation rate, total (% of total population ages 15+) (national estimate)"
1198,SL.TLF.CACT.ZS,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)"
1199,SL.TLF.INTM.FE.ZS,"Labor force with intermediate education, female (% of female working-age population with intermediate education)"
1200,SL.TLF.INTM.MA.ZS,"Labor force with intermediate education, male (% of male working-age population with intermediate education)"
1201,SL.TLF.INTM.ZS,Labor force with intermediate education (% of total working-age population with intermediate education)
1202,SL.TLF.PART.FE.ZS,"Part time employment, female (% of total female employment)"
1203,SL.TLF.PART.MA.ZS,"Part time employment, male (% of total male employment)"
1204,SL.TLF.PART.ZS,"Part time employment, total (% of total employment)"
1205,SL.TLF.TOTL.FE.ZS,"Labor force, female (% of total labor force)"
1206,SL.TLF.TOTL.IN,"Labor force, total"
1207,SL.UEM.1524.FE.NE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)"
1208,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)"
1209,SL.UEM.1524.MA.NE.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)"
1210,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)"
1211,SL.UEM.1524.NE.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)"
1212,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)"
1213,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)"
1214,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)"
1215,SL.UEM.ADVN.ZS,Unemployment with advanced education (% of total labor force with advanced education)
1216,SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)"
1217,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)"
1218,SL.UEM.BASC.ZS,Unemployment with basic education (% of total labor force with basic education)
1219,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)"
1220,SL.UEM.INTM.MA.ZS,"Unemployment with intermediate education, male (% of male labor force with intermediate education)"
1221,SL.UEM.INTM.ZS,Unemployment with intermediate education (% of total labor force with intermediate education)
1222,SL.UEM.NEET.FE.ZS,"Share of youth not in education, employment or training, female (% of female youth population)"
1223,SL.UEM.NEET.MA.ZS,"Share of youth not in education, employment or training, male (% of male youth population)"
1224,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
1225,SL.UEM.TOTL.FE.NE.ZS,"Unemployment, female (% of female labor force) (national estimate)"
1226,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)"
1227,SL.UEM.TOTL.MA.NE.ZS,"Unemployment, male (% of male labor force) (national estimate)"
1228,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)"
1229,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)"
1230,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)"
1231,SL.WAG.0714.FE.ZS,"Children in employment, wage workers, female (% of female children in employment, ages 7-14)"
1232,SL.WAG.0714.MA.ZS,"Children in employment, wage workers, male (% of male children in employment, ages 7-14)"
1233,SL.WAG.0714.ZS,"Children in employment, wage workers (% of children in employment, ages 7-14)"
1234,SM.POP.NETM,Net migration
1235,SM.POP.REFG,Refugee population by country or territory of asylum
1236,SM.POP.REFG.OR,Refugee population by country or territory of origin
1237,SM.POP.TOTL,"International migrant stock, total"
1238,SM.POP.TOTL.ZS,International migrant stock (% of population)
1239,SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population)
1240,SN.ITK.MSFI.ZS,Prevalence of moderate or severe food insecurity in the population (%)
1241,SN.ITK.SALT.ZS,Consumption of iodized salt (% of households)
1242,SN.ITK.SVFI.ZS,Prevalence of severe food insecurity in the population (%)
1243,SN.ITK.VITA.ZS,Vitamin A supplementation coverage rate (% of children ages 6-59 months)
1244,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
1245,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)"
1246,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)"
1247,SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)"
1248,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)"
1249,SP.DYN.CONM.ZS,"Contraceptive prevalence, any modern method (% of married women ages 15-49)"
1250,SP.DYN.CONU.ZS,"Contraceptive prevalence, any method (% of married women ages 15-49)"
1251,SP.DYN.IMRT.FE.IN,"Mortality rate, infant, female (per 1,000 live births)"
1252,SP.DYN.IMRT.IN,"Mortality rate, infant (per 1,000 live births)"
1253,SP.DYN.IMRT.MA.IN,"Mortality rate, infant, male (per 1,000 live births)"
1254,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)"
1255,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)"
1256,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)"
1257,SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)"
1258,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)"
1259,SP.DYN.TO65.MA.ZS,"Survival to age 65, male (% of cohort)"
1260,SP.DYN.WFRT,Wanted fertility rate (births per woman)
1261,SP.HOU.FEMA.ZS,Female headed households (% of households with a female head)
1262,SP.M15.2024.FE.ZS,Women who were first married by age 15 (% of women ages 20-24)
1263,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24)
1264,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)
1265,SP.POP.0004.FE.5Y,"Population ages 00-04, female (% of female population)"
1266,SP.POP.0004.MA.5Y,"Population ages 00-04, male (% of male population)"
1267,SP.POP.0014.FE.IN,"Population ages 0-14, female"
1268,SP.POP.0014.FE.ZS,"Population ages 0-14, female (% of female population)"
1269,SP.POP.0014.MA.IN,"Population ages 0-14, male"
1270,SP.POP.0014.MA.ZS,"Population ages 0-14, male (% of male population)"
1271,SP.POP.0014.TO,"Population ages 0-14, total"
1272,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population)
1273,SP.POP.0509.FE.5Y,"Population ages 05-09, female (% of female population)"
1274,SP.POP.0509.MA.5Y,"Population ages 05-09, male (% of male population)"
1275,SP.POP.1014.FE.5Y,"Population ages 10-14, female (% of female population)"
1276,SP.POP.1014.MA.5Y,"Population ages 10-14, male (% of male population)"
1277,SP.POP.1519.FE.5Y,"Population ages 15-19, female (% of female population)"
1278,SP.POP.1519.MA.5Y,"Population ages 15-19, male (% of male population)"
1279,SP.POP.1564.FE.IN,"Population ages 15-64, female"
1280,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)"
1281,SP.POP.1564.MA.IN,"Population ages 15-64, male"
1282,SP.POP.1564.MA.ZS,"Population ages 15-64, male (% of male population)"
1283,SP.POP.1564.TO,"Population ages 15-64, total"
1284,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population)
1285,SP.POP.2024.FE.5Y,"Population ages 20-24, female (% of female population)"
1286,SP.POP.2024.MA.5Y,"Population ages 20-24, male (% of male population)"
1287,SP.POP.2529.FE.5Y,"Population ages 25-29, female (% of female population)"
1288,SP.POP.2529.MA.5Y,"Population ages 25-29, male (% of male population)"
1289,SP.POP.3034.FE.5Y,"Population ages 30-34, female (% of female population)"
1290,SP.POP.3034.MA.5Y,"Population ages 30-34, male (% of male population)"
1291,SP.POP.3539.FE.5Y,"Population ages 35-39, female (% of female population)"
1292,SP.POP.3539.MA.5Y,"Population ages 35-39, male (% of male population)"
1293,SP.POP.4044.FE.5Y,"Population ages 40-44, female (% of female population)"
1294,SP.POP.4044.MA.5Y,"Population ages 40-44, male (% of male population)"
1295,SP.POP.4549.FE.5Y,"Population ages 45-49, female (% of female population)"
1296,SP.POP.4549.MA.5Y,"Population ages 45-49, male (% of male population)"
1297,SP.POP.5054.FE.5Y,"Population ages 50-54, female (% of female population)"
1298,SP.POP.5054.MA.5Y,"Population ages 50-54, male (% of male population)"
1299,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)"
1300,SP.POP.5559.MA.5Y,"Population ages 55-59, male (% of male population)"
1301,SP.POP.6064.FE.5Y,"Population ages 60-64, female (% of female population)"
1302,SP.POP.6064.MA.5Y,"Population ages 60-64, male (% of male population)"
1303,SP.POP.6569.FE.5Y,"Population ages 65-69, female (% of female population)"
1304,SP.POP.6569.MA.5Y,"Population ages 65-69, male (% of male population)"
1305,SP.POP.65UP.FE.IN,"Population ages 65 and above, female"
1306,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)"
1307,SP.POP.65UP.MA.IN,"Population ages 65 and above, male"
1308,SP.POP.65UP.MA.ZS,"Population ages 65 and above, male (% of male population)"
1309,SP.POP.65UP.TO,"Population ages 65 and above, total"
1310,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population)
1311,SP.POP.7074.FE.5Y,"Population ages 70-74, female (% of female population)"
1312,SP.POP.7074.MA.5Y,"Population ages 70-74, male (% of male population)"
1313,SP.POP.7579.FE.5Y,"Population ages 75-79, female (% of female population)"
1314,SP.POP.7579.MA.5Y,"Population ages 75-79, male (% of male population)"
1315,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)"
1316,SP.POP.80UP.MA.5Y,"Population ages 80 and above, male (% of male population)"
1317,SP.POP.BRTH.MF,Sex ratio at birth (male births per female births)
1318,SP.POP.DPND,Age dependency ratio (% of working-age population)
1319,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
1320,SP.POP.DPND.YG,"Age dependency ratio, young (% of working-age population)"
1321,SP.POP.GROW,Population growth (annual %)
1322,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people)
1323,SP.POP.TECH.RD.P6,Technicians in R&D (per million people)
1324,SP.POP.TOTL,"Population, total"
1325,SP.POP.TOTL.FE.IN,"Population, female"
1326,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)"
1327,SP.POP.TOTL.MA.IN,"Population, male"
1328,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)"
1329,SP.REG.BRTH.FE.ZS,"Completeness of birth registration, female (%)"
1330,SP.REG.BRTH.MA.ZS,"Completeness of birth registration, male (%)"
1331,SP.REG.BRTH.RU.ZS,"Completeness of birth registration, rural (%)"
1332,SP.REG.BRTH.UR.ZS,"Completeness of birth registration, urban (%)"
1333,SP.REG.BRTH.ZS,Completeness of birth registration (%)
1334,SP.REG.DTHS.ZS,Completeness of death registration with cause-of-death information (%)
1335,SP.RUR.TOTL,Rural population
1336,SP.RUR.TOTL.ZG,Rural population growth (annual %)
1337,SP.RUR.TOTL.ZS,Rural population (% of total population)
1338,SP.URB.GROW,Urban population growth (annual %)
1339,SP.URB.TOTL,Urban population
1340,SP.URB.TOTL.IN.ZS,Urban population (% of total population)
1341,SP.UWT.TFRT,Unmet need for contraception (% of married women ages 15-49)
1342,ST.INT.ARVL,"International tourism, number of arrivals"
1343,ST.INT.DPRT,"International tourism, number of departures"
1344,ST.INT.RCPT.CD,"International tourism, receipts (current US$)"
1345,ST.INT.RCPT.XP.ZS,"International tourism, receipts (% of total exports)"
1346,ST.INT.TRNR.CD,"International tourism, receipts for passenger transport items (current US$)"
1347,ST.INT.TRNX.CD,"International tourism, expenditures for passenger transport items (current US$)"
1348,ST.INT.TVLR.CD,"International tourism, receipts for travel items (current US$)"
1349,ST.INT.TVLX.CD,"International tourism, expenditures for travel items (current US$)"
1350,ST.INT.XPND.CD,"International tourism, expenditures (current US$)"
1351,ST.INT.XPND.MP.ZS,"International tourism, expenditures (% of total imports)"
1352,TG.VAL.TOTL.GD.ZS,Merchandise trade (% of GDP)
1353,TM.QTY.MRCH.XD.WD,Import volume index (2000 = 100)
1354,TM.TAX.MANF.BC.ZS,"Binding coverage, manufactured products (%)"
1355,TM.TAX.MANF.BR.ZS,"Bound rate, simple mean, manufactured products (%)"
1356,TM.TAX.MANF.IP.ZS,"Share of tariff lines with international peaks, manufactured products (%)"
1357,TM.TAX.MANF.SM.AR.ZS,"Tariff rate, applied, simple mean, manufactured products (%)"
1358,TM.TAX.MANF.SM.FN.ZS,"Tariff rate, most favored nation, simple mean, manufactured products (%)"
1359,TM.TAX.MANF.SR.ZS,"Share of tariff lines with specific rates, manufactured products (%)"
1360,TM.TAX.MANF.WM.AR.ZS,"Tariff rate, applied, weighted mean, manufactured products (%)"
1361,TM.TAX.MANF.WM.FN.ZS,"Tariff rate, most favored nation, weighted mean, manufactured products (%)"
1362,TM.TAX.MRCH.BC.ZS,"Binding coverage, all products (%)"
1363,TM.TAX.MRCH.BR.ZS,"Bound rate, simple mean, all products (%)"
1364,TM.TAX.MRCH.IP.ZS,"Share of tariff lines with international peaks, all products (%)"
1365,TM.TAX.MRCH.SM.AR.ZS,"Tariff rate, applied, simple mean, all products (%)"
1366,TM.TAX.MRCH.SM.FN.ZS,"Tariff rate, most favored nation, simple mean, all products (%)"
1367,TM.TAX.MRCH.SR.ZS,"Share of tariff lines with specific rates, all products (%)"
1368,TM.TAX.MRCH.WM.AR.ZS,"Tariff rate, applied, weighted mean, all products (%)"
1369,TM.TAX.MRCH.WM.FN.ZS,"Tariff rate, most favored nation, weighted mean, all products (%)"
1370,TM.TAX.TCOM.BC.ZS,"Binding coverage, primary products (%)"
1371,TM.TAX.TCOM.BR.ZS,"Bound rate, simple mean, primary products (%)"
1372,TM.TAX.TCOM.IP.ZS,"Share of tariff lines with international peaks, primary products (%)"
1373,TM.TAX.TCOM.SM.AR.ZS,"Tariff rate, applied, simple mean, primary products (%)"
1374,TM.TAX.TCOM.SM.FN.ZS,"Tariff rate, most favored nation, simple mean, primary products (%)"
